Name,Libraries
testGetAllCallers01,"soba/core/ClassInfo, java/util/List, org/hamcrest/Matcher, soba/util/graph/IDepthFirstVisitor, java/lang/String, soba/util/graph/DepthFirstSearch, org/hamcrest/collection/IsIterableContainingInAnyOrder, java/lang/System, java/util/Iterator, gnu/trove/impl/hash/TObjectHash, gnu/trove/list/TIntList, org/hamcrest/Description, org/hamcrest/core/IsEqual, java/lang/Iterable, gnu/trove/map/hash/TObjectIntHashMap, soba/util/ObjectIdMap, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Stack, gnu/trove/list/array/TIntArrayList, org/hamcrest/MatcherAssert, java/lang/reflect/Method, java/util/ArrayList, org/hamcrest/BaseMatcher, soba/util/graph/IDirectedGraph, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, soba/core/MethodInfo, soba/util/callgraph/CallGraph, java/util/Collection"
testStack,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, soba/util/IntStack, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, java/lang/Boolean, java/util/EmptyStackException, java/lang/Integer"
testAdd,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/util/IntPairList, java/lang/Integer"
testSortByFirstValues,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, java/util/Arrays, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/util/IntPairList, java/lang/Integer"
testSetValues,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/util/IntPairList, java/lang/Integer"
testAddAll,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/util/IntPairList, java/lang/Integer"
testFreeze,"soba/util/IntPairList, java/lang/RuntimeException, java/lang/Object"
testArrayIndexOutOfBounds,"soba/util/IntPairList, java/lang/ArrayIndexOutOfBoundsException, java/lang/Object"
testForEach,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/util/IntPairProc, soba/util/IntPairListTest, soba/util/IntPairList, java/lang/Integer"
testObjectIdMap,"org/hamcrest/core/Is, java/util/Arrays, org/hamcrest/core/IsNull, org/hamcrest/Matcher, gnu/trove/impl/hash/THash, gnu/trove/impl/hash/TObjectHash, java/lang/Math, gnu/trove/impl/PrimeFinder, org/hamcrest/core/IsEqual, gnu/trove/map/hash/TObjectIntHashMap, soba/util/ObjectIdMap, org/hamcrest/MatcherAssert, java/lang/Integer, gnu/trove/impl/HashFunctions, java/util/ArrayList, org/hamcrest/BaseMatcher, java/lang/Object, java/lang/Class, org/hamcrest/Matchers"
testAdd,"gnu/trove/impl/hash/THash, gnu/trove/impl/PrimeFinder, org/hamcrest/core/IsEqual, gnu/trove/map/hash/TObjectIntHashMap, org/hamcrest/core/Is, java/util/ArrayList, soba/util/ObjectIdMap, java/util/Arrays, org/hamcrest/BaseMatcher, java/lang/Math, java/lang/Object, org/hamcrest/Matcher, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, java/lang/Class, gnu/trove/impl/hash/TObjectHash, java/lang/Integer, gnu/trove/impl/HashFunctions"
testFreeze,"org/hamcrest/core/Is, java/util/Arrays, org/hamcrest/core/IsNull, org/hamcrest/Matcher, gnu/trove/impl/hash/THash, gnu/trove/impl/hash/TObjectHash, java/lang/Math, gnu/trove/impl/PrimeFinder, org/hamcrest/core/IsEqual, gnu/trove/map/hash/TObjectIntHashMap, soba/util/ObjectIdMap, java/lang/RuntimeException, org/hamcrest/MatcherAssert, java/lang/Integer, gnu/trove/impl/HashFunctions, java/util/ArrayList, org/hamcrest/BaseMatcher, java/lang/Object, java/lang/Class, org/hamcrest/Matchers"
testListSubdirectories,"org/hamcrest/core/IsEqual, org/junit/Assume, java/util/ArrayList, org/hamcrest/core/Is, java/util/Iterator, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/io/File, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, org/hamcrest/MatcherAssert, java/lang/Boolean, java/lang/String, soba/util/files/Directory, java/lang/Integer"
testEnumerateSystemClasspath,"java/util/ArrayList, org/hamcrest/core/Is, org/hamcrest/core/IsNot, java/util/List, org/hamcrest/core/IsNull, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/StringBuilder, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, java/lang/String, java/io/File, soba/util/files/ClasspathUtil, java/lang/System"
testMerge,"org/hamcrest/core/IsEqual, java/util/ArrayList, org/hamcrest/core/Is, java/util/Iterator, java/util/List, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/io/File, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, java/lang/Boolean, java/util/Arrays, soba/util/files/Directory, soba/util/files/ClasspathUtil, java/lang/System"
testGetClassList,"org/hamcrest/core/Is, java/util/List, org/hamcrest/Matcher, java/util/Arrays, org/hamcrest/collection/IsArrayWithSize, java/lang/String, soba/util/files/ClasspathUtil, soba/util/files/IClassList, java/lang/System, org/hamcrest/FeatureMatcher, java/util/Iterator, soba/util/TestUtil, org/hamcrest/Description, org/hamcrest/core/IsEqual, soba/util/files/SingleFile, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/MatcherAssert, java/lang/Integer, java/lang/reflect/Method, java/util/ArrayList, org/hamcrest/BaseMatcher, java/io/File, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, soba/util/files/ZipFile, soba/util/files/Directory"
testIsZipFile,"org/hamcrest/core/IsEqual, org/junit/Assume, org/hamcrest/core/Is, soba/util/TestUtil, org/hamcrest/BaseMatcher, java/io/File, org/hamcrest/Matcher, java/lang/Object, org/hamcrest/Matchers, soba/util/files/ZipFile, java/lang/Boolean, org/hamcrest/MatcherAssert, java/lang/Class, java/lang/String"
testIsClassFile,"org/hamcrest/core/IsEqual, org/junit/Assume, org/hamcrest/core/Is, soba/util/TestUtil, org/hamcrest/BaseMatcher, java/io/File, org/hamcrest/Matcher, java/lang/Object, org/hamcrest/Matchers, soba/util/files/ZipFile, java/lang/Boolean, org/hamcrest/MatcherAssert, java/lang/Class, java/lang/String"
