Name,Libraries
testConstructorWithSingleInstruction,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, java/lang/Integer, soba/core/method/asm/FastSourceValue, org/hamcrest/MatcherAssert"
testConstructorWithArray,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, java/lang/Integer, soba/core/method/asm/FastSourceValue, org/hamcrest/MatcherAssert"
testMerge,"java/lang/Iterable, java/lang/Math, java/util/Arrays, org/hamcrest/collection/IsArrayContainingInAnyOrder, gnu/trove/list/array/TIntArrayList, org/hamcrest/core/DescribedAs, java/lang/Integer, java/lang/String, org/hamcrest/Matchers, java/util/Collection, org/hamcrest/Matcher, org/hamcrest/MatcherAssert, org/hamcrest/FeatureMatcher, java/lang/System, java/lang/Class, org/hamcrest/collection/IsArrayWithSize, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/core/IsEqual, org/hamcrest/TypeSafeDiagnosingMatcher, java/util/Iterator, java/util/List, org/hamcrest/collection/IsIterableContainingInAnyOrder, java/lang/reflect/Method, org/hamcrest/TypeSafeMatcher, java/lang/Object, soba/util/UtilForAssertThat, org/hamcrest/Description, java/util/ArrayList, soba/core/method/asm/FastSourceValue"
testContainsAll,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Boolean, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/asm/FastSourceValue, org/hamcrest/MatcherAssert"
testEquals,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/util/Arrays, java/lang/Class, java/lang/Boolean, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/asm/FastSourceValue, org/hamcrest/MatcherAssert"
testClassInfo01,"java/util/BitSet, org/objectweb/asm/tree/ClassNode, org/objectweb/asm/tree/Util, java/lang/Iterable, soba/core/MD5, java/io/InputStream, org/objectweb/asm/tree/LineNumberNode, org/objectweb/asm/tree/FieldInsnNode, org/hamcrest/collection/IsCollectionWithSize, java/lang/Integer, org/objectweb/asm/tree/VarInsnNode, java/lang/String, org/objectweb/asm/tree/LdcInsnNode, org/hamcrest/Matchers, org/objectweb/asm/tree/LocalVariableNode, java/util/Collection, org/objectweb/asm/MethodVisitor, java/util/Map, org/hamcrest/Matcher, org/objectweb/asm/tree/LabelNode, soba/core/ClassInfo, org/objectweb/asm/tree/AbstractInsnNode, org/objectweb/asm/Context, org/objectweb/asm/tree/InsnList, org/objectweb/asm/Label, java/io/FileInputStream, soba/util/files/FileUtil, org/objectweb/asm/ClassVisitor, org/hamcrest/MatcherAssert, org/objectweb/asm/tree/InsnNode, org/hamcrest/FeatureMatcher, java/io/ByteArrayOutputStream, java/lang/Class, org/objectweb/asm/tree/MethodNode, org/hamcrest/core/IsNull, org/hamcrest/core/Is, org/objectweb/asm/ClassReader, java/util/HashMap, org/hamcrest/BaseMatcher, java/util/Iterator, org/hamcrest/core/IsEqual, java/security/MessageDigest, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/core/IsNot, java/lang/StringBuilder, java/util/List, org/objectweb/asm/tree/TypeInsnNode, org/hamcrest/collection/IsIterableContainingInAnyOrder, java/lang/reflect/Method, org/objectweb/asm/commons/JSRInlinerAdapter, org/hamcrest/TypeSafeMatcher, java/lang/Boolean, java/lang/Object, soba/core/MethodInfo, org/objectweb/asm/tree/MethodInsnNode, java/io/File, soba/util/TestUtil, org/hamcrest/collection/IsEmptyCollection, org/hamcrest/Description, java/util/ArrayList"
testClassInfo02,"java/util/BitSet, org/objectweb/asm/tree/ClassNode, org/objectweb/asm/tree/Util, soba/core/MD5, java/io/InputStream, org/objectweb/asm/tree/LineNumberNode, org/objectweb/asm/tree/FieldNode, org/objectweb/asm/tree/FieldInsnNode, java/lang/Double, org/hamcrest/collection/IsCollectionWithSize, java/lang/Integer, soba/core/FieldInfo, java/lang/String, org/objectweb/asm/tree/VarInsnNode, org/hamcrest/Matchers, org/objectweb/asm/tree/LdcInsnNode, org/objectweb/asm/tree/LocalVariableNode, org/objectweb/asm/MethodVisitor, org/objectweb/asm/FieldVisitor, java/util/Map, org/hamcrest/Matcher, java/util/Collection, org/objectweb/asm/tree/LabelNode, soba/core/ClassInfo, org/objectweb/asm/tree/AbstractInsnNode, org/objectweb/asm/Context, org/objectweb/asm/tree/InsnList, org/objectweb/asm/Label, java/io/FileInputStream, soba/util/files/FileUtil, org/hamcrest/MatcherAssert, org/objectweb/asm/ClassVisitor, org/objectweb/asm/tree/InsnNode, org/hamcrest/FeatureMatcher, java/io/ByteArrayOutputStream, java/lang/Class, org/objectweb/asm/tree/MethodNode, org/hamcrest/core/IsNull, org/hamcrest/core/Is, org/objectweb/asm/ClassReader, java/util/HashMap, org/hamcrest/BaseMatcher, java/util/Iterator, org/hamcrest/core/IsEqual, java/security/MessageDigest, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/core/IsNot, java/lang/StringBuilder, java/util/List, java/lang/reflect/Method, org/objectweb/asm/commons/JSRInlinerAdapter, org/hamcrest/TypeSafeMatcher, java/lang/Boolean, java/lang/Object, soba/core/MethodInfo, org/objectweb/asm/tree/MethodInsnNode, java/io/File, soba/util/TestUtil, org/hamcrest/collection/IsEmptyCollection, org/hamcrest/Description, java/util/ArrayList"
testLibrary01,"java/util/BitSet, org/objectweb/asm/tree/ClassNode, org/objectweb/asm/tree/Util, soba/core/MD5, java/io/InputStream, org/objectweb/asm/tree/LineNumberNode, org/objectweb/asm/tree/FieldNode, org/objectweb/asm/tree/FieldInsnNode, java/lang/Double, org/objectweb/asm/tree/LocalVariableNode, soba/core/FieldInfo, java/lang/String, org/objectweb/asm/tree/VarInsnNode, org/hamcrest/Matchers, org/objectweb/asm/tree/LdcInsnNode, java/lang/Integer, org/objectweb/asm/MethodVisitor, org/objectweb/asm/FieldVisitor, java/util/Map, org/hamcrest/Matcher, org/objectweb/asm/tree/LabelNode, soba/core/ClassInfo, org/objectweb/asm/tree/AbstractInsnNode, org/objectweb/asm/Context, org/objectweb/asm/tree/InsnList, org/objectweb/asm/Label, java/io/FileInputStream, soba/util/files/FileUtil, org/objectweb/asm/ClassVisitor, org/hamcrest/MatcherAssert, org/objectweb/asm/tree/InsnNode, java/io/ByteArrayOutputStream, java/lang/Class, org/objectweb/asm/tree/MethodNode, org/hamcrest/core/Is, org/objectweb/asm/ClassReader, java/util/HashMap, org/hamcrest/BaseMatcher, java/util/Iterator, org/hamcrest/core/IsEqual, java/security/MessageDigest, java/lang/StringBuilder, java/util/List, org/objectweb/asm/commons/JSRInlinerAdapter, java/lang/Boolean, java/lang/Object, soba/core/MethodInfo, org/objectweb/asm/tree/MethodInsnNode, java/io/File, soba/util/TestUtil, java/util/ArrayList"
testClasses,"java/lang/Iterable, org/hamcrest/collection/IsEmptyCollection, java/lang/Integer, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, org/hamcrest/MatcherAssert, java/lang/Class, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/core/IsEqual, org/hamcrest/TypeSafeDiagnosingMatcher, java/util/Iterator, java/util/List, java/lang/reflect/Method, org/hamcrest/TypeSafeMatcher, java/lang/Object, org/hamcrest/collection/IsIterableContainingInAnyOrder, org/hamcrest/Description, java/util/ArrayList"
testGetClassInfo,"org/hamcrest/Matchers, org/hamcrest/MatcherAssert, java/util/Map, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/IsNull, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/core/IsEqual, java/util/Set"
